Date,Close,MA20,MA60,RSI14,MACD_hist,Vol20,Vol60,sig_trend,sig_vol,sig_mom,composite,vol_override,strategy_raw,strategy,entry
2018-01-02 00:00:00+09:00,97308.296875,,,,0.0,,,-1,-1,-1,-1.0,True,Defensive,Defensive,False
2018-01-03 00:00:00+09:00,105907.6328125,,,,548.7895299145254,,,-1,-1,-1,-1.0,True,Defensive,Defensive,False
2018-01-04 00:00:00+09:00,112696.5859375,,,,1295.996047312913,,,-1,-1,-1,-1.0,True,Defensive,Defensive,False
2018-01-05 00:00:00+09:00,111338.796875,,,,1605.5367968721976,,,-1,-1,-1,-1.0,True,Defensive,Defensive,False
2018-01-08 00:00:00+09:00,112243.9921875,,,,1765.2895175027304,,,-1,-1,-1,-1.0,True,Defensive,Defensive,False
2018-01-09 00:00:00+09:00,111791.390625,,,,1732.1086254895727,,,-1,-1,-1,-1.0,True,Defensive,Defensive,False
2018-01-10 00:00:00+09:00,115864.765625,,,,1864.6295047899312,,,-1,-1,-1,-1.0,True,Defensive,Defensive,False
2018-01-11 00:00:00+09:00,118580.3359375,,,,2003.1602898054275,,,-1,-1,-1,-1.0,True,Defensive,Defensive,False
2018-01-12 00:00:00+09:00,118580.3359375,,,,1960.3289938556854,,,-1,-1,-1,-1.0,True,Defensive,Defensive,False
2018-01-15 00:00:00+09:00,122201.1171875,,,,2032.6705606923797,,,-1,-1,-1,-1.0,True,Defensive,Defensive,False
2018-01-16 00:00:00+09:00,123106.3046875,,,,1995.4722658044666,,,-1,-1,-1,-1.0,True,Defensive,Defensive,False
2018-01-17 00:00:00+09:00,121295.921875,,,,1713.7170655999707,,,-1,-1,-1,-1.0,True,Defensive,Defensive,False
2018-01-18 00:00:00+09:00,121748.5234375,,,,1433.9608763973038,,,-1,-1,-1,-1.0,True,Defensive,Defensive,False
2018-01-19 00:00:00+09:00,120843.328125,,,,1080.2031988772642,,,-1,-1,-1,-1.0,True,Defensive,Defensive,False
2018-01-22 00:00:00+09:00,123106.3046875,,,87.0129817725234,898.3307101818846,,,-1,-1,-1,-1.0,True,Defensive,Defensive,False
2018-01-23 00:00:00+09:00,127179.6796875,,,85.0746237894406,947.2145057180469,,,-1,-1,-1,-1.0,True,Defensive,Defensive,False
2018-01-24 00:00:00+09:00,127632.28125,,,81.1320742426843,904.9411049251448,,,-1,-1,-1,-1.0,True,Defensive,Defensive,False
2018-01-25 00:00:00+09:00,128084.8671875,,,86.27449653094497,805.6846400247141,,,-1,-1,-1,-1.0,True,Defensive,Defensive,False
2018-01-26 00:00:00+09:00,128537.484375,,,85.99999792862097,674.0811584248186,,,-1,-1,-1,-1.0,True,Defensive,Defensive,False
2018-01-29 00:00:00+09:00,129442.6640625,118874.53046875,,88.23530208143302,556.4471795623103,,,-1,-1,-1,-1.0,True,Defensive,Defensive,False
2018-01-30 00:00:00+09:00,129895.25,120503.878125,,86.04650976078744,423.58385047085994,0.024770015378886654,,-1,-1,-1,-1.0,True,Defensive,Defensive,False
2018-01-31 00:00:00+09:00,131994.71875,121808.232421875,,85.59033988895747,392.2747553524505,0.018482758974888665,,-1,-1,-1,-1.0,True,Defensive,Defensive,False
2018-02-01 00:00:00+09:00,132944.3125,122820.61875,,86.28158673790156,351.9827514590088,0.014031685797148849,,-1,-1,-1,-1.0,True,Defensive,Defensive,False
2018-02-02 00:00:00+09:00,131994.71875,123853.41484375,,78.59621828899134,186.168658505655,0.013692623348930158,,-1,-1,-1,-1.0,True,Defensive,Defensive,False
2018-02-05 00:00:00+09:00,125347.5,124508.590234375,,54.90072074195934,-413.66143219598325,0.019201513531161105,,-1,-1,-1,-1.0,True,Defensive,Defensive,False
2018-02-06 00:00:00+09:00,124872.6953125,125162.65546875,,58.30633359592233,-859.228393809175,0.019195160797779526,,-1,-1,-1,-1.0,True,Defensive,Defensive,False
2018-02-07 00:00:00+09:00,121074.28125,125423.13125,,48.644805293712146,-1394.895488732369,0.019452454039199388,,-1,-1,-1,-1.0,True,Defensive,Defensive,False
2018-02-08 00:00:00+09:00,125822.296875,125785.229296875,,58.66841347582015,-1410.362621805496,0.020588089852840764,,-1,-1,-1,-1.0,True,Defensive,Defensive,False
2018-02-09 00:00:00+09:00,123448.2890625,126028.626953125,,50.59310376971955,-1550.264079798837,0.021164928459020613,,-1,-1,-1,-1.0,True,Defensive,Defensive,False
2018-02-12 00:00:00+09:00,122973.4921875,126067.245703125,,41.664803708164705,-1636.0881258022346,0.020131497868489407,,-1,-1,-1,-1.0,True,Defensive,Defensive,False
2018-02-13 00:00:00+09:00,118700.2890625,125846.944921875,,34.627623285440734,-1922.194896635012,0.021560441136944306,,-1,-1,-1,-1.0,True,Defensive,Defensive,False
2018-02-14 00:00:00+09:00,122973.4921875,125930.8234375,,42.22550244717668,-1769.0440576724318,0.022850231768612183,,-1,-1,-1,-1.0,True,Defensive,Defensive,False
2018-02-19 00:00:00+09:00,127246.703125,126205.732421875,,48.24112118570703,-1344.5709709485845,0.024045322213307244,,-1,-1,-1,-1.0,True,Defensive,Defensive,False
2018-02-20 00:00:00+09:00,122498.6875,126288.500390625,,41.434831000505916,-1344.938991095058,0.025612559129694023,,-1,-1,-1,-1.0,True,Defensive,Defensive,False
2018-02-21 00:00:00+09:00,121549.0859375,126210.639453125,,39.82997359413873,-1366.0985945688699,0.02532062606356756,,-1,-1,-1,-1.0,True,Defensive,Defensive,False
2018-02-22 00:00:00+09:00,118700.2890625,125786.669921875,,34.090902716580686,-1517.2693312405345,0.024553273926467997,,-1,-1,-1,-1.0,True,Defensive,Defensive,False
2018-02-23 00:00:00+09:00,123448.2890625,125577.4703125,,39.58332654880498,-1253.7359148745218,0.026320429902523205,,-1,-1,-1,-1.0,True,Defensive,Defensive,False
2018-02-26 00:00:00+09:00,123923.09375,125369.381640625,,41.05262246301255,-1013.9366508188818,0.026323628126816618,,-1,-1,-1,-1.0,True,Defensive,Defensive,False
2018-02-27 00:00:00+09:00,122498.6875,125067.441796875,,46.42856303353927,-920.4764056984441,0.02638352941745305,,-1,-1,-1,-1.0,True,Defensive,Defensive,False
2018-02-28 00:00:00+09:00,124397.890625,124815.203125,,49.42528279112748,-709.4350253968166,0.026606228081943774,,-1,-1,-1,-1.0,True,Defensive,Defensive,False
2018-03-02 00:00:00+09:00,124397.890625,124540.33515625,,54.430384492498305,-555.3449659993653,0.02657983961736184,,-1,-1,-1,-1.0,True,Defensive,Defensive,False
2018-03-05 00:00:00+09:00,117275.875,123804.39296875,,39.28570449150627,-898.273202097743,0.0290521957107857,,-1,-1,-1,-1.0,True,Defensive,Defensive,False
2018-03-06 00:00:00+09:00,131994.71875,123756.91328125,,58.181830692498664,-138.86604475792365,0.04017106331169859,,-1,-1,-1,-1.0,True,Defensive,Defensive,False
2018-03-07 00:00:00+09:00,130095.515625,123661.953125,,56.637176646420166,211.44577838575378,0.04026968286864968,,-1,-1,1,-0.5,True,Defensive,Defensive,False
2018-03-08 00:00:00+09:00,137217.53125,124255.4546875,,66.38655706192706,862.2118246299938,0.04012036556612138,,-1,-1,1,-0.5,True,Defensive,Defensive,False
2018-03-09 00:00:00+09:00,135318.328125,124777.736328125,,61.403516621761455,1089.5042650951182,0.04029477212317314,,-1,-1,1,-0.5,True,Defensive,Defensive,False
2018-03-12 00:00:00+09:00,138167.109375,125632.377734375,,60.360348474718975,1339.978678243895,0.03959015766047951,,-1,-1,1,-0.5,True,Defensive,Defensive,False
2018-03-13 00:00:00+09:00,135318.328125,126107.179296875,,62.61684844287167,1225.193609472054,0.03929772706788622,,-1,-1,1,-0.5,True,Defensive,Defensive,False
2018-03-14 00:00:00+09:00,132469.515625,126558.240625,,60.360375317578644,884.6937382936321,0.0393685568012055,,-1,-1,1,-0.5,True,Defensive,Defensive,False
2018-03-15 00:00:00+09:00,135318.328125,127175.482421875,,65.76577805204856,782.1624885100882,0.039521369455193314,,-1,-1,1,-0.5,True,Defensive,Defensive,False
2018-03-16 00:00:00+09:00,135318.328125,128006.384375,,62.37625697982723,650.5729530059716,0.03840582217349427,,-1,-1,1,-0.5,True,Defensive,Defensive,False
2018-03-19 00:00:00+09:00,134368.71875,128576.145703125,,60.78432005162123,445.5837486481605,0.037898517844508206,,-1,-1,1,-0.5,True,Defensive,Defensive,False
2018-03-20 00:00:00+09:00,139116.734375,129169.647265625,,66.05506110570855,567.928467975381,0.037922123356241004,,-1,-1,1,-0.5,True,Defensive,Defensive,False
2018-03-21 00:00:00+09:00,144339.546875,130261.690234375,,68.10346441708498,918.0322402960537,0.03719625010341218,,-1,-1,1,-0.5,True,Defensive,Defensive,False
2018-03-22 00:00:00+09:00,141490.734375,131258.77265625,,64.75410587805611,875.3333244561404,0.03756851020071689,,-1,-1,1,-0.5,True,Defensive,Defensive,False
2018-03-23 00:00:00+09:00,140066.34375,132327.075390625,,71.81820847137466,677.5798558998299,0.03709202198126327,,-1,-1,-1,-1.0,True,Defensive,Defensive,False
2018-03-26 00:00:00+09:00,140066.34375,133157.978125,,60.759512653545464,482.3647016999844,0.03640021103985726,,-1,-1,1,-0.5,True,Defensive,Defensive,False
2018-03-27 00:00:00+09:00,139116.734375,133917.66015625,,62.337668998187034,237.27275614498194,0.0365159001059171,,-1,-1,1,-0.5,True,Defensive,Defensive,False
2018-03-28 00:00:00+09:00,136267.921875,134606.121875,,48.52939966597833,-147.97637033549063,0.036800076837141926,,-1,-1,-1,-1.0,True,Defensive,Defensive,False
2018-03-29 00:00:00+09:00,130570.3203125,134914.743359375,126201.49231770834,43.42105120721321,-782.3437013176676,0.0382294322178265,,1,-1,-1,-0.30000000000000004,True,Defensive,Defensive,False
2018-03-30 00:00:00+09:00,125347.5,134962.223828125,126668.81236979166,33.33336041853131,-1507.51636318089,0.039436228444106027,0.03130746365460394,1,1,-1,0.5,False,Trend,Defensive,False
2018-04-02 00:00:00+09:00,119649.8828125,135080.92421875,126897.84986979167,31.03448601947011,-2278.453790642397,0.038539250036380555,0.03015290035082485,1,1,-1,0.5,False,Trend,Defensive,False
2018-04-03 00:00:00+09:00,119649.8828125,134463.682421875,127013.73815104166,33.333340104628704,-2668.8601974025396,0.026929922093834577,0.029102571669187123,1,1,-1,0.5,False,Trend,Defensive,False
2018-04-04 00:00:00+09:00,114901.875,133704.000390625,127073.12278645833,24.70588508582732,-3097.2152776766243,0.02802218637034543,0.02954641428379756,1,1,-1,0.5,False,Trend,Defensive,False
2018-04-05 00:00:00+09:00,122973.4921875,132991.7984375,127251.94778645833,37.254898165108756,-2701.7230715514925,0.029787442603640454,0.030788398751258984,1,1,-1,0.5,False,Trend,Defensive,False
2018-04-06 00:00:00+09:00,121549.0859375,132303.336328125,127414.57604166666,36.89320341820375,-2410.447959807099,0.029757642769558057,0.03082735139760604,1,1,-1,0.5,False,Trend,Defensive,False
2018-04-09 00:00:00+09:00,120124.6796875,131401.21484375,127485.574609375,29.16665881090239,-2194.2693279829646,0.02913349774879549,0.03053819263360915,1,1,-1,0.5,False,Trend,Defensive,False
2018-04-10 00:00:00+09:00,119175.078125,130594.05234375,127495.48697916667,19.540222711184697,-2001.190046431295,0.028953275252199016,0.030412386592064876,1,1,-1,0.5,False,Trend,Defensive,False
