date,portfolio_value,cash,invested,n_positions,daily_return,strategy,cum_return
2023-01-02 00:00:00+09:00,100000000.0,100000000.0,0.0,0,0.0,Trend,0.0
2023-01-03 00:00:00+09:00,100000000.0,100000000.0,0.0,0,0.0,Trend,0.0
2023-01-04 00:00:00+09:00,100000000.0,100000000.0,0.0,0,0.0,Trend,0.0
2023-01-05 00:00:00+09:00,100000000.0,100000000.0,0.0,0,0.0,Trend,0.0
2023-01-06 00:00:00+09:00,100000000.0,100000000.0,0.0,0,0.0,Trend,0.0
2023-01-09 00:00:00+09:00,100000000.0,100000000.0,0.0,0,0.0,Trend,0.0
2023-01-10 00:00:00+09:00,100000000.0,100000000.0,0.0,0,0.0,Trend,0.0
2023-01-11 00:00:00+09:00,100000000.0,100000000.0,0.0,0,0.0,Trend,0.0
2023-01-12 00:00:00+09:00,100000000.0,100000000.0,0.0,0,0.0,Trend,0.0
2023-01-13 00:00:00+09:00,100000000.0,100000000.0,0.0,0,0.0,Trend,0.0
2023-01-16 00:00:00+09:00,100000000.0,100000000.0,0.0,0,0.0,Trend,0.0
2023-01-17 00:00:00+09:00,100000000.0,100000000.0,0.0,0,0.0,Trend,0.0
2023-01-18 00:00:00+09:00,100000000.0,100000000.0,0.0,0,0.0,Trend,0.0
2023-01-19 00:00:00+09:00,100000000.0,100000000.0,0.0,0,0.0,Trend,0.0
2023-01-20 00:00:00+09:00,100000000.0,100000000.0,0.0,0,0.0,Trend,0.0
2023-01-25 00:00:00+09:00,100000000.0,100000000.0,0.0,0,0.0,Trend,0.0
2023-01-26 00:00:00+09:00,100000000.0,100000000.0,0.0,0,0.0,Trend,0.0
2023-01-27 00:00:00+09:00,100000000.0,100000000.0,0.0,0,0.0,Trend,0.0
2023-01-30 00:00:00+09:00,100000000.0,100000000.0,0.0,0,0.0,Trend,0.0
2023-01-31 00:00:00+09:00,99970298.7619375,85119679.7306875,14850619.03125,2,-0.0002970123806249614,Trend,-0.0002970123806249614
2023-02-01 00:00:00+09:00,99908852.535375,85119679.7306875,14789172.8046875,2,-0.0006146448227470902,Trend,-0.0009114746462499657
2023-02-02 00:00:00+09:00,99930785.3869375,85119679.7306875,14811105.65625,2,0.00021952861038743166,Trend,-0.0006921461306249599
2023-02-03 00:00:00+09:00,100128018.20725,85119679.7306875,15008338.4765625,2,0.001973694287989547,Trend,0.0012801820724999136
2023-02-06 00:00:00+09:00,99587222.9885,85119679.7306875,14467543.2578125,2,-0.005401037875638726,Trend,-0.004127770114999985
2023-02-07 00:00:00+09:00,99485425.3869375,85119679.7306875,14365745.65625,2,-0.001022195403262316,Trend,-0.005145746130625017
2023-02-08 00:00:00+09:00,99606476.379125,85119679.7306875,14486796.6484375,2,0.0012167711171429119,Trend,-0.003935236208750026
2023-02-09 00:00:00+09:00,99489778.7619375,85119679.7306875,14370099.03125,2,-0.001171586642050526,Trend,-0.005102212380625026
2023-02-10 00:00:00+09:00,99655199.14475,85119679.7306875,14535519.4140625,2,0.0016626872114000601,Trend,-0.003448008552500048
2023-02-13 00:00:00+09:00,99688685.754125,85119679.7306875,14569006.0234375,2,0.0003360247098234126,Trend,-0.003113142458750051
2023-02-14 00:00:00+09:00,99816600.9885,85119679.7306875,14696921.2578125,2,0.0012831469630414372,Trend,-0.0018339901149999616
2023-02-15 00:00:00+09:00,99492459.5275625,85119679.7306875,14372779.796875,2,-0.0032473702543212024,Trend,-0.0050754047243749545
2023-02-16 00:00:00+09:00,99618533.8244375,85119679.7306875,14498854.09375,2,0.0012671743916439215,Trend,-0.0038146617556250595
2023-02-17 00:00:00+09:00,99599446.676,85119679.7306875,14479766.9453125,2,-0.00019160238265636398,Trend,-0.00400553323999997
2023-02-20 00:00:00+09:00,99637787.2150625,85119679.7306875,14518107.484375,2,0.00038494730987026493,Trend,-0.0036221278493749898
2023-02-21 00:00:00+09:00,100008139.5275625,85119679.7306875,14888459.796875,2,0.003716986525409416,Trend,8.13952756248959e-05
2023-02-22 00:00:00+09:00,100070256.20725,85119679.7306875,14950576.4765625,2,0.0006211162409472948,Trend,0.0007025620725000792
