date,portfolio_value,cash,invested,n_positions,daily_return,strategy,cum_return
2024-08-22 00:00:00+09:00,105105668.5834688,78489658.8412813,26616009.7421875,4,0.0025175093437965756,MeanReversion,0.05105668583468792
2024-08-23 00:00:00+09:00,105190359.4897188,78489658.8412813,26700700.6484375,4,0.0008057691596599081,MeanReversion,0.05190359489718799
2024-08-26 00:00:00+09:00,105188502.6694063,78489658.8412813,26698843.828125,4,-1.765200082504137e-05,MeanReversion,0.05188502669406292
2024-08-27 00:00:00+09:00,105005196.9584688,78489658.8412813,26515538.1171875,4,-0.00174264017725978,MeanReversion,0.05005196958468794
2024-08-28 00:00:00+09:00,105338530.3725313,78489658.8412813,26848871.53125,4,0.0031744468247065782,MeanReversion,0.053385303725312916
2024-08-29 00:00:00+09:00,105281867.3881563,78489658.8412813,26792208.546875,4,-0.000537913184991412,MeanReversion,0.05281867388156303
2024-08-30 00:00:00+09:00,105245205.8022188,78489658.8412813,26755546.9609375,4,-0.00034822317315419404,MeanReversion,0.052452058022187886
2024-09-02 00:00:00+09:00,105006152.9819063,78489658.8412813,26516494.140625,4,-0.0022713891667591746,MeanReversion,0.05006152981906298
2024-09-03 00:00:00+09:00,104426382.6772188,78489658.8412813,25936723.8359375,4,-0.005521298402269781,MeanReversion,0.044263826772187986
2024-09-04 00:00:00+09:00,103635577.2084688,78489658.8412813,25145918.3671875,4,-0.007572851308987438,MeanReversion,0.036355772084687876
2024-09-05 00:00:00+09:00,103388709.54061723,82803962.10311723,20584747.4375,3,-0.0023820745201715843,MeanReversion,0.033887095406172296
2024-09-06 00:00:00+09:00,103062080.60311723,82803962.10311723,20258118.5,3,-0.0031592321729451145,MeanReversion,0.030620806031172343
2024-09-09 00:00:00+09:00,103100194.47811723,82803962.10311723,20296232.375,3,0.0003698147250372763,MeanReversion,0.03100194478117224
2024-09-10 00:00:00+09:00,103297476.88436723,82803962.10311723,20493514.78125,3,0.0019135017857980774,MeanReversion,0.03297476884367234
2024-09-11 00:00:00+09:00,103017161.00936723,82803962.10311723,20213198.90625,3,-0.0027136759140186095,MeanReversion,0.030171610093672196
2024-09-12 00:00:00+09:00,103766221.22811723,82803962.10311723,20962259.125,3,0.007271217837986121,MeanReversion,0.03766221228117228
2024-09-13 00:00:00+09:00,104172756.69686723,82803962.10311723,21368794.59375,3,0.003917801611531102,MeanReversion,0.0417275669686723
2024-09-19 00:00:00+09:00,104697750.54061723,82803962.10311723,21893788.4375,3,0.005039646260659891,MeanReversion,0.04697750540617229
2024-09-20 00:00:00+09:00,104885947.54061723,82803962.10311723,22081985.4375,3,0.0017975266806424806,MeanReversion,0.04885947540617219
2024-09-23 00:00:00+09:00,105078858.72811723,82803962.10311723,22274896.625,3,0.001839247220656537,MeanReversion,0.05078858728117219
2024-09-24 00:00:00+09:00,105394608.94686723,82803962.10311723,22590646.84375,3,0.003004888162774666,MeanReversion,0.0539460894686723
2024-09-25 00:00:00+09:00,105080103.55511723,62782835.148867235,42297268.40625,4,-0.002984074753847654,MeanReversion,0.050801035551172324
2024-09-26 00:00:00+09:00,106453389.70496099,46519917.90808599,59933471.796875,5,0.013068945531857334,MeanReversion,0.06453389704960988
2024-09-27 00:00:00+09:00,107245705.76746099,46519917.90808599,60725787.859375,5,0.0074428448421974824,MeanReversion,0.07245705767460997
2024-09-30 00:00:00+09:00,105256396.70496099,46519917.90808599,58736478.796875,5,-0.018549078942269093,MeanReversion,0.05256396704960986
2024-10-02 00:00:00+09:00,104799207.84558599,46519917.90808599,58279289.9375,5,-0.0043435731574255065,MeanReversion,0.04799207845585984
2024-10-04 00:00:00+09:00,105050406.97530474,41604523.16280474,63445883.8125,6,0.002396956378609927,MeanReversion,0.05050406975304744
2024-10-07 00:00:00+09:00,106687269.53780474,41604523.16280474,65082746.375,6,0.015581687017022228,MeanReversion,0.06687269537804741
2024-10-08 00:00:00+09:00,106774778.58467974,41604523.16280474,65170255.421875,6,0.0008202388837403873,MeanReversion,0.06774778584679741
2024-10-10 00:00:00+09:00,106852182.66280474,41604523.16280474,65247659.5,6,0.000724928481716347,MeanReversion,0.0685218266280474
2024-10-11 00:00:00+09:00,107218957.83467974,41604523.16280474,65614434.671875,6,0.0034325473072687185,MeanReversion,0.0721895783467974
2024-10-14 00:00:00+09:00,107218957.83467974,41604523.16280474,65614434.671875,6,0.0,MeanReversion,0.0721895783467974
2024-10-15 00:00:00+09:00,108363818.03142974,66230627.79705474,42133190.234375,5,0.010677777697813973,MeanReversion,0.08363818031429737
2024-10-16 00:00:00+09:00,107908406.26611724,46254442.828617245,61653963.4375,6,-0.0042026183054975075,MeanReversion,0.0790840626611724
2024-10-17 00:00:00+09:00,106896432.719961,23052358.204336002,83844074.515625,8,-0.009378078883498397,MeanReversion,0.0689643271996101
2024-10-18 00:00:00+09:00,106671346.173086,23052358.204336002,83618987.96875,8,-0.0021056506858808666,MeanReversion,0.06671346173086001
2024-10-21 00:00:00+09:00,106797450.876211,23052358.204336002,83745092.671875,8,0.0011821797291315939,MeanReversion,0.06797450876210998
2024-10-22 00:00:00+09:00,105879677.813711,23052358.204336002,82827319.609375,8,-0.008593585848446827,MeanReversion,0.05879677813710993
