,005930.KS,009540.KS,034020.KS,105560.KS,005380.KS,005490.KS,207940.KS,090430.KS,035420.KS
2018-01-02,,,,,,,,,
2018-01-03,0.011760176764306074,0.08837216061292308,0.0032051423987569105,0.0,0.006689023972363817,0.054572211084099376,0.0038510623038239267,-0.0031999573914426316,-0.015819285147707585
2018-01-04,-0.010461274843665547,0.0641025858544042,0.03194886516765094,-0.0015849846217038666,-0.026578103878367232,0.027972107443519745,-0.020460310494250122,-0.04012845566195189,0.025258394248580673
2018-01-05,0.02036039669959866,-0.012048252071744314,0.0,0.01746052381932328,0.017064821985621093,0.0013607091994236598,0.01827673243623118,0.003344437085947005,0.016797341702276203
2018-01-08,-0.0019188637446201362,0.008130098415134235,0.0,0.03900148107451362,0.01342287027878375,0.004075890547354133,0.024359002853651335,0.0,0.04625546134614544
2018-01-09,-0.03114139559040119,-0.004032231682794762,0.021671769868207846,0.009008943656508617,0.00993369089786933,0.02165087135270838,0.02252819675091322,-0.006666578220457131,-0.0063157835668044005
2018-01-10,-0.03095268483909197,0.03643728714015171,0.04242428320537228,-0.01785701447573207,0.019672241623725384,-0.01324484601902376,-0.018359915774501134,0.02516794580434345,-0.016949307717167184
2018-01-11,-0.012284801573696824,0.023437479982387766,-0.011627886961128153,0.02575770297810731,-0.0032156990694279797,-0.01610762914267838,-0.009974987744865826,0.0065465563823541295,-0.011853221393157143
2018-01-12,-0.0008294604125906879,0.0,0.011764685393011343,0.0,-0.006451199106282446,0.0545704154824489,0.04785889097788898,-0.02439039783458896,-0.008724091490038277
2018-01-15,0.0070542093410375095,0.030534281740939972,-0.01744186630300426,-0.0014774576880649537,0.006493087305303291,-0.015523843488770672,0.008413497146256388,-0.0033332891102285656,0.013201128925599548
2018-01-16,0.030078374998916413,0.007407423035106886,-0.026627191507492598,-0.02662694604731719,0.01935481513896553,-0.006570319480158071,-0.01311084531176765,0.020067062558718263,-0.019543869957772242
2018-01-17,-0.007600518754050101,-0.014705913150391381,-0.02735566914442389,-0.006079184100364232,-0.0031642876931211594,0.01984109834799508,-0.03985506958755525,-0.0032786443251661135,-0.016611414252493018
2018-01-18,0.00564328431037131,0.003731383418791756,-0.024999957593997535,0.004587296691450415,-0.015873258952865177,-0.0012968448564946167,0.006289260726881629,0.011513056278009914,0.01689201450296096
2018-01-19,-0.011623245521785508,-0.0074349597434774095,0.006410205718724971,0.0213087081685428,0.04516150595094559,0.0012985288469506973,-0.031249971114956532,0.006504084695263979,-0.02436321078335346
2018-01-22,-0.021897764407289744,0.018726598782191184,-0.01592355962204428,-0.020864120709158218,0.003086285891173768,-0.020752262232942242,0.0,0.011308357022823179,0.013620872245210469
2018-01-23,0.019070871993193572,0.03308827285767446,0.02912626398083118,0.044139936555745996,-0.009230757316790239,0.006622647224808764,0.041290329830727446,0.0,-0.004479279060568886
2018-01-24,0.0036616875403254756,0.0035586954701576357,0.006289258403477493,-0.016035007042222604,-0.0279503392832694,0.018420945950762047,0.007434888222656921,-0.023961396601951845,-0.012373486942675926
2018-01-25,0.01864609743148571,0.003546076065326975,0.0062500279494106525,-0.013333320983299535,0.012779469437089519,0.012920260594512012,-0.003690009304608166,0.014729805695338216,0.039863335065609906
2018-01-26,0.010346048731667778,0.00353372882713332,0.0031056038637571337,0.01201198177046292,-0.0378547121820908,0.00765290699482124,0.03209872736287478,0.006451632755530401,0.015334137751564558
2018-01-29,0.008664923281130887,0.00704220643807818,0.046439605070635714,-0.0029673938333224514,0.013114667295644367,-0.007594784813001798,0.05143541563309095,-0.0016025953589572373,0.005393781419541277
2018-01-30,-0.027723570894513938,0.0034964802830790287,-0.008875706170561881,-0.004464422780321331,0.009708861094575916,-0.03188794017764296,-0.007963535444448722,-0.006420459981258841,-0.0010730902555396993
2018-01-31,0.0020083541082103196,0.016162660855253863,0.014925365439604654,0.005979229321120494,0.0384615513890314,0.0026350306860805084,0.005733901732862368,-0.032310487270167276,-0.022556413808612286
2018-02-01,-0.0016032497283654523,0.007194179880776419,-0.017647064372726118,-0.0178305651653633,-0.009259246072861882,0.03810780849542428,0.011402516777375915,0.0016695919120670588,0.014285745985914478
2018-02-02,-0.042553129522478694,-0.007142793340632725,-0.0269461533449743,0.004538373023496023,0.012460910601587827,-0.029114234623416002,-0.007891803428717092,0.006666687864518517,-0.019501694726587693
2018-02-05,0.004612005002887276,-0.05035979185720263,-0.030769216754035433,0.019578717402437995,-0.02153830467107154,-0.005215094796028885,-0.03181813089138197,-0.008278307990307154,-0.028729168157901386
2018-02-06,-0.010434213886245103,-0.0037878450275636855,-0.022222243109065065,-0.05169884546227477,-0.00943394857545976,-0.01703796788157408,-0.024647894794195047,-0.011685825459003207,-0.03185444113330893
2018-02-07,-0.03416248402504585,-0.030418291628880767,0.006493535622885016,-0.017133891020764902,0.0,-0.026666741903356606,-0.02888084715147854,-0.04898643899525901,-0.00940060166204515
2018-02-08,0.004366454838482525,0.039215724231276505,-0.02580640745385787,-0.026941315665144572,0.022222056505177168,-0.01232840864069229,0.008674036259766371,0.023090449786322687,0.0
2018-02-09,-0.028260564420609535,-0.018867942101378876,0.006622464075250356,-0.006514825933889412,-0.03726716246789319,-0.023578282299119402,-0.01597049761851599,-0.024305459188713963,-0.0415184886668023
2018-02-12,0.022818570024736973,-0.00384618281148974,-0.016447360678833678,0.05409834354775267,-0.006451199106282446,0.03124981214212319,0.05368290470327142,-0.023131770909664673,-0.00990108115667665
2018-02-13,0.03980747121208217,-0.034748979804208324,-0.03344480004686967,-0.001555139841926123,-0.009740516205616112,-0.012397146586887842,0.015402825493280536,-0.010928875641597391,0.006250146399461753
2018-02-14,0.030711080766217425,0.03599994102794102,0.0034602229735549717,0.009345726544760291,0.013114667295644367,0.01394716258047124,0.017502978009467318,0.029465715489462196,0.007453409044388737
2018-02-19,-0.012653035158023962,0.03474910686411947,0.027586158783549752,0.03086429715586081,0.003236173905488693,0.0,-0.013761458381229663,-0.00715554032438015,0.011097449902122358
2018-02-20,-0.020256429686676847,-0.03731346674134117,0.026845674813366083,-0.00149702343853364,-0.009677272256136238,0.0027512492739418803,-0.011627914753018942,-0.007207170365523652,-0.015853593669043153
2018-02-21,-0.002531357538436474,-0.007751932546216089,-0.009803965045239948,-0.01799104410279584,0.042345423967647955,-0.0013717922817381156,0.0,0.06896549048051859,0.03221785765974716
2018-02-22,-0.010998246937972356,-0.023437483429244677,-0.013201297826744396,-0.009160239102355194,-0.01875023390438013,-0.012362741330809612,0.042352911836996965,-0.0016978260544202595,-0.007202778250483766
2018-02-23,0.00983693137141528,0.03999997104050679,0.010033489524260641,-0.0030816999935104894,0.01273903772069418,0.008345112283898448,0.015801328444793095,-0.0051020288290025695,0.0024183774417081416
2018-02-26,0.0033887951284110596,0.0038461195258818748,0.016556282734061956,-0.009273502978296544,0.012578466191406568,0.019310233233966523,0.02000003286476093,0.018803449368230973,-0.022919304670050322
2018-02-27,0.0,-0.011494213743340698,-0.013029373552695844,-0.0015600805240607585,0.0,0.024357330489814144,-0.010893253792022328,-0.015100635026704778,-0.007407401498153221
2018-02-28,-0.006753781233469258,0.015503865092432179,-0.013201297826744396,0.0,0.0031059116929459396,-0.0449138761138097,-0.008810597003026999,-0.04088576102625929,-0.0012438303263133665
2018-03-02,-0.022099734829903572,0.0,-0.020066896531521716,-0.007812679700913705,-0.034055932004626865,-0.03596146540567213,0.03444446047108718,-0.021314508523431308,-0.021170443358474622
2018-03-05,-0.017818063382564975,-0.05725190024700233,-0.006825884823666861,-0.020472414303613573,-0.01923074208303399,0.0,0.0,0.0036295364355036774,-0.00890569003529107
2018-03-06,0.04026542219161411,0.12550615162751932,0.0,0.0016080101329218888,0.026143616137169756,0.0,-0.035445756112766014,0.005425180885956671,0.021822670518289344
2018-03-07,0.03402806707873407,-0.014388537325475403,-0.01030932380253824,-0.012841147872772907,-0.028662317211851418,-0.0028695451698044216,-0.0022271547827741323,0.01618701141595702,-0.0012563309959819913
2018-03-08,0.011929246404956517,0.054744576175255855,0.031249967874241058,0.004877920294338756,0.013114667295644367,0.030215897956485716,0.006696378219100518,0.023008833895312497,0.005031645395999762
2018-03-09,0.010975636130564626,-0.013840819811426264,0.01346807388450233,0.011326625258151646,-0.0032359024030006456,-0.036312875248352916,0.008869204443228362,0.04152239367922128,0.003754537744022235
2018-03-12,0.0,0.02105267290450419,0.009966739555977044,0.02400028591905934,-0.0032470203244691076,0.023188456108965028,0.007692340334821468,0.023255943564414183,0.004987627364623659
2018-03-13,0.03860059943082961,-0.020618596340008066,0.0,-0.028125149588868692,0.0,0.001416242526227629,-0.011995637265877823,-0.0016233015540014772,0.01736970964033069
2018-03-14,0.0019356691250054237,-0.021052788372971976,-0.003289488367729243,-0.009646233201767718,0.016286691015587218,-0.03818943807350228,-0.017660092596278876,-0.019512361055590843,-0.01341476868642888
2018-03-15,-0.00425052533532877,0.021505539954480124,-0.029702940467091876,0.0016233956465425692,0.009615438264480636,-0.007353023547947868,0.001123587103756929,0.02487589219446651,0.013597171598208613
2018-03-16,-0.007760705268871404,0.0,0.03061221321374563,0.01620746080442581,0.0,0.01333332079388505,0.005611722576412959,0.0016180478763334616,-0.023170856637398263
2018-03-19,-0.007821972340788519,-0.007017596124323955,0.0033003448136030844,0.0031897393138022867,-0.038095248875301024,0.0029242695064888302,0.004464252146066938,-0.01615508421725209,-0.019975014089742116
2018-03-20,0.009065907197916001,0.035335721506982054,0.003289488367729243,0.011128906566269858,0.006600581251516857,-0.00728883333878283,0.02666664962567955,-0.013136544423822727,0.012738842361751823
2018-03-21,-0.002734189871084758,0.037542549416963444,0.01639343466619203,-0.009434161235012284,0.013114667295644367,0.014684079567516717,-0.0032467289958961754,-0.003327852589331326,-0.0012577081487173958
2018-03-22,0.014101250477526417,-0.01973677516013128,0.006451641657952978,0.014285973344313696,-0.012944899248820474,-0.014471577768102373,0.036916386214463914,-0.008347080943357899,0.01133474674335333
2018-03-23,-0.039783860710484675,-0.010067024044308592,-0.038461550627506,-0.035993889580514415,-0.006557299264928096,-0.055800285381526704,0.008376986683405363,-0.028619425139522092,-0.024906380283394425
2018-03-26,0.011263378344239516,0.0,0.0200000065793553,-0.012987072902496566,-0.013201370162080672,0.020217481989377895,0.020768446690449638,0.02772960660627999,0.0076628277395127675
2018-03-27,-0.00596715577727025,-0.006779711310912262,0.08169930556356242,0.008223781077095538,0.030100572802785885,0.05335368853127953,0.017293951454938394,0.026981533316389417,0.0
2018-03-28,-0.02561007390668224,-0.020477744016912047,-0.021147981756599932,-0.019575806982218613,-0.016233943990789035,-0.030390509298629298,-0.0699999696000958,0.0,-0.006337180637954298
2018-03-29,0.014354964614373245,-0.041811983926886676,-0.018518524159255145,0.024958314698562134,-0.05280520376959319,0.010494885488260941,0.04516130457195633,0.00821012421751699,0.0025510180427785745
2018-03-30,0.0036704977999433286,-0.04000000239334667,0.0,-0.014610376279194481,0.0,-0.03412434222456506,0.0020575976891881176,0.03257328222420708,0.00763358072617204
2018-04-02,-0.013815603999184467,-0.04545451429117764,-0.037735860767809215,-0.01976940161523555,0.034843225181370174,0.006143895184503645,-0.0020533726743183767,0.05047313309217172,-0.008838426718434267
2018-04-03,-0.008652485566743695,0.0,0.009803884415885866,-0.02857128664644626,0.023568704480044556,-0.007633326568765919,-0.0010287988445940588,0.03603595060604525,0.0
2018-04-04,-0.02493795395786047,-0.03968251118089661,-0.02912618413428336,-0.00346044443552862,0.02960529538442125,-0.023077164396058003,0.03604529650630006,-0.0217389853481208,-0.039490359874226
2018-04-05,0.03878954959877978,0.07024784734800882,0.0099999621687068,0.008680559667117338,-0.015974085515600644,0.003149418852338437,-0.001988056632580615,-0.013333398307583177,0.033156627393998495
2018-04-06,-0.006975881181178201,-0.011582972091417565,-0.013201297826744396,0.003442577196051788,-0.009740516205616112,0.001570162416568488,0.03386453237768028,-0.009008888873084375,-0.011553416379626813
2018-04-09,0.016528962513638,-0.011718773851844722,-0.006688993016173761,-0.029159468052778248,-0.009835983280286231,-0.018808910537043255,0.08285164798327771,0.02272721609295414,0.005194800290443835
2018-04-10,-0.006504196430479614,-0.007905132941626647,0.003367018471125638,0.035335394170507906,0.0,0.03674138371051239,0.037366559098417795,0.013333300846208429,0.0012919362722692007
2018-04-11,-0.00040892804958603257,0.003984093780093678,0.0033557197009086437,-0.0017064078412704076,-0.006622645795609561,0.006163220168933448,0.0017152529335708877,-0.02046785116224137,-0.005161181528179126
2018-04-12,0.0028651414213993753,0.023809506708537986,0.0,0.011965758320557685,0.013333245710433816,-0.01531399150602697,-0.03253428307236261,-0.034328439837474134,-0.018158322747927613
2018-04-13,0.01632686177374265,0.0,-0.013377903515347955,0.011824463961250142,-0.009868201821471634,0.018662523006682585,0.008849563956605966,0.0355487737794582,0.009246966004331725
