generation,best_sharpe,avg_sharpe,improved
1,0.6287871280292329,0.5306609725311754,True
2,0.6741420795182157,0.5715813702991918,True
3,0.7050287507785191,0.603386250946478,True
4,0.7297493574227,0.6306094326191366,True
5,0.7422716585475373,0.6674976484541737,True
6,0.743002500981373,0.6909562750926584,True
7,0.743002500981373,0.6974322900139626,False
8,0.743002500981373,0.7005789417380434,False
9,0.743002500981373,0.7011661953287014,False
10,0.7553159540061458,0.6947155433281573,True
11,0.7553159540061458,0.7050971853084503,False
12,0.7553159540061458,0.7096063271133478,False
13,0.7553159540061458,0.7122533584836221,False
14,0.7636483636164314,0.717641755423126,True
15,0.7636483636164314,0.7226539448768574,False
16,0.7666381223414575,0.7196997867665412,True
17,0.7666381223414575,0.7200682157236764,False
18,0.7666381223414575,0.72340807608043,False
19,0.7666381223414575,0.7233610025826916,False
20,0.7666381223414575,0.7280135591314524,False
21,0.7666381223414575,0.7248673582166365,False
22,0.7666381223414575,0.719469101022978,False
23,0.7700349297521324,0.7272482084455211,True
24,0.7700349297521324,0.7333682108734119,False
25,0.7700349297521324,0.7321980799474836,False
26,0.7700349297521324,0.730823394336902,False
27,0.7756021307363139,0.7318409878982899,True
28,0.7756021307363139,0.728353601235565,False
29,0.7756021307363139,0.7317383677090924,False
30,0.7756021307363139,0.7287704161600718,False
31,0.7756021307363139,0.7341646747279673,False
32,0.7756021307363139,0.7312728808199479,False
33,0.7756021307363139,0.7368163504446169,False
34,0.7756021307363139,0.7269652730047729,False
35,0.7756021307363139,0.7280525056160034,False
36,0.7756021307363139,0.7339354061278204,False
37,0.7756021307363139,0.7295034614308131,False
38,0.7756021307363139,0.7383956635105793,False
39,0.7756021307363139,0.743414151283,False
40,0.7756021307363139,0.7381118598807324,False
41,0.7756021307363139,0.7241704750284559,False
42,0.7756021307363139,0.7369318214449211,False
