누적 수익률 (%),20.29
MDD (%),-13.46
Sharpe Ratio,0.4483
최종 자산 (원),120292549.0
총 거래 수,41
승률 (%),56.1
평균 거래 수익 (%),4.61
청산 사유 분포,"{'stop_loss': 17, 'take_profit': 14, 'secretary_trigger': 10}"
