Date,Close,High,Low,Volume,MA20,MA60,Vol20,Vol60,RSI14,MACD,MACD_signal,MACD_hist,Return,sig_trend,sig_vol,sig_mom,composite,strategy
2018-01-02 00:00:00+09:00,250321.21875,251798.04009955755,245521.54936393807,153013,,,,,,0.0,0.0,0.0,,-1,-1,-1,-1.0,Defensive
2018-01-03 00:00:00+09:00,263981.71875,264720.1291520979,255859.20432692306,485812,,,,,,1089.7264957265288,217.94529914530577,871.7811965812231,0.054571881953175305,-1,-1,-1,-1.0,Defensive
2018-01-04 00:00:00+09:00,271365.84375,273211.8698979592,266566.1757653061,416948,,,,,,2520.129288723343,678.3820970609133,1841.7471916624297,0.027972107443519745,-1,-1,-1,-1.0,Defensive
2018-01-05 00:00:00+09:00,271735.03125,272842.6468665082,269889.00522248645,205202,,,,,,3641.5466702595877,1271.0150117006483,2370.5316585589394,0.0013604788830392511,-1,-1,-1,-1.0,Defensive
2018-01-08 00:00:00+09:00,272842.65625,276165.5032138024,268412.19363159675,206165,,,,,,4567.008474366245,1930.2137042337677,2636.794770132477,0.004076121488292728,-1,-1,-1,-1.0,Defensive
2018-01-09 00:00:00+09:00,278749.96875,278749.96875,274319.5056705298,229700,,,,,,5711.278309784655,2686.4266253439455,3024.8516844407095,0.021650985887585072,-1,-1,-1,-1.0,Defensive
2018-01-10 00:00:00+09:00,275057.875,282811.1842281879,273211.8489932886,208474,,,,,,6248.174225741706,3398.776145423498,2849.3980803182085,-0.013245180857083039,-1,-1,-1,-1.0,Defensive
2018-01-11 00:00:00+09:00,270627.40625,274319.4581770123,268042.9699010914,210191,,,,,,6244.187202907575,3967.858356920314,2276.328845987261,-0.016107405577826084,-1,-1,-1,-1.0,Defensive
2018-01-12 00:00:00+09:00,285395.6875,287610.9192270375,275427.1447283312,295131,,,,,,7348.001148517244,4643.8869152397,2704.1142332775435,0.05457053095486342,-1,-1,-1,-1.0,Defensive
2018-01-15 00:00:00+09:00,280965.25,286134.12450722733,278750.0180683312,186265,,,,,,7775.649525863642,5270.239437364488,2505.410088499154,-0.015523841788954829,-1,-1,-1,-1.0,Defensive
2018-01-16 00:00:00+09:00,279119.1875,283180.44551917986,277642.3664021164,173673,,,,,,7874.826037734863,5791.156757438564,2083.6692802963,-0.0065704299731016436,-1,-1,-1,-1.0,Defensive
2018-01-17 00:00:00+09:00,284657.3125,285026.51783398184,277273.20582036313,230473,,,,,,8304.574575095729,6293.840320969997,2010.7342541257312,0.01984143422601492,-1,-1,-1,-1.0,Defensive
2018-01-18 00:00:00+09:00,284288.03125,286872.46789772727,280226.7736607143,211404,,,,,,8517.174787271942,6738.507214230387,1778.6675730415554,-0.0012972835538872518,-1,-1,-1,-1.0,Defensive
2018-01-19 00:00:00+09:00,284657.3125,292041.4191796368,283549.6964980545,227900,,,,,,8616.138417469629,7114.033454878236,1502.104962591393,0.001298968684598778,-1,-1,-1,-1.0,Defensive
2018-01-22 00:00:00+09:00,278749.96875,285026.4581125828,271735.0688741722,249860,,,,,70.3702343611451,8124.2433167131385,7316.075427245216,808.1678894679226,-0.020752474960572087,-1,-1,-1,-1.0,Defensive
2018-01-23 00:00:00+09:00,280596.0,282072.8210526316,277642.35789473687,174829,,,,,64.33114220112017,7793.533199975558,7411.566981791285,381.9662181842732,0.006622534374723488,-1,-1,1,-0.5,Defensive
2018-01-24 00:00:00+09:00,285764.90625,285764.90625,279119.2107558139,190705,,,,,62.913856057183416,7857.9490407085395,7500.843393574736,357.10564713380336,0.018421168690929246,-1,-1,1,-0.5,Defensive
2018-01-25 00:00:00+09:00,289456.96875,290933.79001913266,278011.6039142219,274674,,,,,64.99995238966835,8113.391519451339,7623.353018750057,490.0385007012819,0.012919929701829869,-1,-1,1,-0.5,Defensive
2018-01-26 00:00:00+09:00,291672.1875,292410.59810126584,286134.10799050634,194814,,,,,65.6441074281762,8397.77682023897,7778.23777904784,619.5390411911303,0.007653015781814654,-1,-1,1,-0.5,Defensive
2018-01-29 00:00:00+09:00,289456.96875,293518.22724011476,287980.14748086734,166584,278473.075,,,,59.47709778816824,8348.172049400397,7892.224633118351,455.9474162820452,-0.007594891953830896,-1,-1,1,-0.5,Defensive
2018-01-30 00:00:00+09:00,280226.6875,290564.4309123847,280226.6875,270903,279968.3484375,,0.022378261177820637,,54.16658269785738,7477.853316698922,7809.350369834467,-331.4970531355448,-0.03188826750262852,-1,-1,-1,-1.0,Defensive
2018-01-31 00:00:00+09:00,280965.25,284657.30321944813,273581.14356110385,250773,280817.525,,0.019386612119546384,,58.86074152405044,6769.678630773851,7601.416022022344,-831.7373912484927,0.002635589445776798,-1,-1,-1,-1.0,Defensive
2018-02-01 00:00:00+09:00,291672.1875,295364.2405063291,281703.6443829114,334689,281832.8421875,,0.02014762623182144,,55.78226122204564,6991.808251422015,7479.494467902279,-487.6862164802642,0.03810769303321315,-1,-1,-1,-1.0,Defensive
2018-02-02 00:00:00+09:00,283180.46875,288349.3430166232,281334.442226206,227378,282405.1140625,,0.02147091191908348,,51.89870366273267,6408.76063795347,7265.347701912518,-856.5870639590476,-0.02911391320092871,-1,-1,-1,-1.0,Defensive
2018-02-05 00:00:00+09:00,281703.59375,282811.20945281786,276534.7204701835,206251,282848.1609375,,0.021525786351547626,,52.22924922920664,5761.10925260972,6964.500012051959,-1203.390759442239,-0.005215313776826269,-1,-1,-1,-1.0,Defensive
2018-02-06 00:00:00+09:00,276903.90625,280965.16354166664,270996.6229166667,318632,282755.8578125,,0.021385191856863293,,43.22579271186172,4805.155355230847,6532.631080687737,-1727.4757254568904,-0.01703807692371695,-1,-1,-1,-1.0,Defensive
2018-02-07 00:00:00+09:00,269519.875,284288.0873287671,268043.05376712326,242550,282478.9578125,,0.022032837559711242,,38.505868177486654,3412.389491412905,5908.582762832772,-2496.1932714198665,-0.026666403338251987,-1,-1,-1,-1.0,Defensive
2018-02-08 00:00:00+09:00,266197.0,276165.54230235785,265827.7947295423,359224,282257.4375,,0.02190979170834658,,36.26377970332945,2017.2308859553305,5130.312387457284,-3113.0815015019534,-0.012328868140058291,-1,-1,-1,-1.0,Defensive
2018-02-09 00:00:00+09:00,259920.46875,261397.28959517044,254751.5957919034,311718,280983.6765625,,0.018415392822220353,,36.06562760455451,400.4775667398353,4184.3454233137945,-3783.867856573959,-0.02357851985559567,-1,-1,-1,-1.0,Defensive
2018-02-12 00:00:00+09:00,268042.96875,269150.58432334714,260289.65973657026,215516,280337.5625,,0.019830586707286723,,41.50000529005364,-222.8246356853051,3302.9114115139746,-3525.7360471992797,0.031249943642616573,-1,-1,-1,-1.0,Defensive
2018-02-13 00:00:00+09:00,264720.21875,269150.6826621339,263243.3974459554,145737,279617.6140625,,0.01994005262231731,,35.38466947472229,-973.6901830476127,2447.5910926016572,-3421.28127564927,-0.012396333377053037,-1,-1,-1,-1.0,Defensive
2018-02-14 00:00:00+09:00,268412.21875,271365.86077200825,263981.7557169876,110771,278805.359375,,0.019638776658844462,,35.38461338127635,-1256.3604531115852,1706.8007834590087,-2963.161236570594,0.013946800200730802,-1,-1,-1,-1.0,Defensive
2018-02-19 00:00:00+09:00,268412.21875,269519.8345082531,262504.9347059835,206970,278011.56875,,0.019646625663253873,,33.333348261208556,-1463.5082663740613,1072.7389734923947,-2536.247239866456,0.0,-1,-1,-1,-1.0,Defensive
2018-02-20 00:00:00+09:00,269150.59375,274319.46660665295,266935.3625257202,99610,277236.2328125,,0.01966548028934594,,35.135105458205615,-1550.2236953817774,548.1464397175603,-2098.370135099338,0.002750899357110592,-1,-1,-1,-1.0,Defensive
2018-02-21 00:00:00+09:00,268781.4375,269889.0533138736,263243.35843063187,168234,276737.80625,,0.01919508488024893,,40.37275831903368,-1629.9451289873687,112.52812597657447,-1742.4732549639432,-0.0013715602290028661,-1,-1,-1,-1.0,Defensive
2018-02-22 00:00:00+09:00,265458.5,268042.9360222531,263243.26912378304,144617,275980.93125,,0.019227573408436498,,37.499874045516925,-1938.9077037042007,-297.7590399595806,-1641.14866374462,-0.012362972424388441,-1,-1,-1,-1.0,Defensive
2018-02-23 00:00:00+09:00,267673.78125,272104.2438362069,265458.5499568966,125529,275076.375,,0.018778597879702125,,27.586128394482316,-1982.15899211535,-634.6390303907344,-1347.5199617246155,0.00834511326629217,-1,-1,-1,-1.0,Defensive
2018-02-26 00:00:00+09:00,272842.65625,276903.913650203,270627.4249407984,190909,274245.659375,,0.01911220816194665,,39.70580913379555,-1581.1247138947947,-823.9361670915465,-757.1885468032482,0.019310352234955808,-1,-1,-1,-1.0,Defensive
2018-02-27 00:00:00+09:00,279488.375,281334.40125495376,273581.090984148,225515,273636.46875,,0.019927429465714994,,48.00000902841298,-718.7627470394364,-802.9014830811245,84.13873604168816,0.024357330489814144,-1,-1,1,-0.5,Defensive
