date,portfolio_value,cash,invested,n_positions,daily_return,strategy,cum_return
2023-02-24 00:00:00+09:00,99716066.913625,69198288.851125,30517778.0625,2,-9.177796922033021e-05,Trend,-0.0028393308637499892
2023-02-27 00:00:00+09:00,99479397.757375,69198288.851125,30281108.90625,2,-0.002373430517019992,Trend,-0.005206022426250012
2023-02-28 00:00:00+09:00,99366584.67925,69198288.851125,30168295.828125,2,-0.0011340345907616678,Trend,-0.006334153207499971
2023-03-02 00:00:00+09:00,99979104.663625,69198288.851125,30780815.8125,2,0.006164245116727862,Trend,-0.0002089533637499308
2023-03-03 00:00:00+09:00,100038300.663625,69198288.851125,30840011.8125,2,0.0005920837178845506,Trend,0.0003830066362500162
2023-03-06 00:00:00+09:00,100287905.30425,69198288.851125,31089616.453125,2,0.002495090769927044,Trend,0.002879053042500024
2023-03-07 00:00:00+09:00,100160666.444875,69198288.851125,30962377.59375,2,-0.001268735835981305,Trend,0.001606664448750017
2023-03-08 00:00:00+09:00,100495033.882375,69198288.851125,31296745.03125,2,0.003338310829671176,Trend,0.004950338823749956
2023-03-09 00:00:00+09:00,101983512.757375,69198288.851125,32785223.90625,2,0.01481146697002167,Trend,0.019835127573750055
2023-03-10 00:00:00+09:00,101472664.8355,69198288.851125,32274375.984375,2,-0.005009122632305685,Trend,0.014726648354999927
2023-03-13 00:00:00+09:00,101374374.523,69198288.851125,32176085.671875,2,-0.0009686383289464473,Trend,0.013743745229999993
2023-03-14 00:00:00+09:00,99635697.42925,69198288.851125,30437408.578125,2,-0.017151051258575523,Trend,-0.0036430257074999695
2023-03-15 00:00:00+09:00,101095323.7105,69198288.851125,31897034.859375,2,0.0146496317977447,Trend,0.010953237105000069
2023-03-16 00:00:00+09:00,100498720.8355,69198288.851125,31300431.984375,2,-0.00590138943229912,Trend,0.004987208354999995
2023-03-17 00:00:00+09:00,100113717.42925,69198288.851125,30915428.578125,2,-0.0038309284242551422,Trend,0.0011371742924999317
2023-03-20 00:00:00+09:00,100024579.694875,69198288.851125,30826290.84375,2,-0.0008903648437387224,Trend,0.0002457969487499323
2023-03-21 00:00:00+09:00,99695983.0855,69198288.851125,30497694.234375,2,-0.00328515861178702,Trend,-0.003040169144999938
2023-03-22 00:00:00+09:00,99284665.806125,64238045.353,35046620.453125,3,-0.004125715667222529,Trend,-0.007153341938749946
2023-03-23 00:00:00+09:00,98784305.681125,64238045.353,34546260.328125,3,-0.0050396516011552706,Trend,-0.012156943188750047
2023-03-24 00:00:00+09:00,98930441.9189375,47972502.793937504,50957939.125,4,0.001479346712059959,Trend,-0.010695580810624938
2023-03-27 00:00:00+09:00,98360479.6376875,47972502.793937504,50387976.84375,4,-0.005761242648820053,Trend,-0.016395203623124965
2023-03-28 00:00:00+09:00,99245183.3095625,47972502.793937504,51272680.515625,4,0.008994503434039958,Trend,-0.007548166904374987
2023-03-29 00:00:00+09:00,100285360.2470625,47972502.793937504,52312857.453125,4,0.010480880812679061,Trend,0.0028536024706249385
2023-03-30 00:00:00+09:00,99746537.5751875,47972502.793937504,51774034.78125,4,-0.005372894613406731,Trend,-0.002534624248125006
2023-03-31 00:00:00+09:00,100992510.6845625,47972502.793937504,53020007.890625,4,0.01249139207900618,Trend,0.009925106845624976
2023-04-03 00:00:00+09:00,101035130.6689375,47972502.793937504,53062627.875,4,0.00042201133614860886,Trend,0.010351306689375006
2023-04-04 00:00:00+09:00,101675977.8564375,47972502.793937504,53703475.0625,4,0.006342815447033745,Trend,0.01675977856437494
2023-04-05 00:00:00+09:00,101071541.9345625,47972502.793937504,53099039.140625,4,-0.0059447269120779245,Trend,0.010715419345625143
2023-04-06 00:00:00+09:00,100631239.3564375,47972502.793937504,52658736.5625,4,-0.004356345710151199,Trend,0.006312393564374963
