Date,Close,High,Low,Volume,MA20,MA60,Vol20,Vol60,RSI14,MACD,MACD_signal,MACD_hist,Return,sig_trend,sig_vol,sig_mom,composite,strategy
2018-01-02 00:00:00+09:00,111375.328125,113982.77727842808,111002.83538879598,731763,,,,,,0.0,0.0,0.0,,-1,-1,-1,-1.0,Defensive
2018-01-03 00:00:00+09:00,112120.28125,112492.77387873754,111002.80336378737,450874,,,,,,59.42646011398756,11.885292022797513,47.541168091190045,0.006688672774673332,-1,-1,-1,-1.0,Defensive
2018-01-04 00:00:00+09:00,109140.3828125,112492.81777943685,108767.8900383959,931558,,,,,,-132.40426797466353,-16.972619976694695,-115.43164799796884,-0.02657769320838199,-1,-1,-1,-1.0,Defensive
2018-01-05 00:00:00+09:00,111002.828125,111002.828125,108395.37914219798,463695,,,,,,-132.61898137204116,-40.10189225576399,-92.51708911627716,0.01706467637830844,-1,-1,-1,-1.0,Defensive
2018-01-08 00:00:00+09:00,112492.8125,112492.8125,109885.3632036424,482619,,,,,,-12.416724274589797,-34.56485865952916,22.14813438493936,0.013422940659873372,-1,-1,-1,-1.0,Defensive
2018-01-09 00:00:00+09:00,113610.296875,113610.296875,111375.34021516393,465845,,,,,,171.04438711829425,6.556990496035528,164.48739662225873,0.00993382910574847,-1,-1,-1,-1.0,Defensive
2018-01-10 00:00:00+09:00,115845.2265625,117707.69001205788,113237.77773311897,793679,,,,,,491.1174906355882,103.46909052394606,387.6484001116421,0.01967189373652456,-1,-1,-1,-1.0,Defensive
2018-01-11 00:00:00+09:00,115472.75,116590.22822580645,113610.28629032258,476891,,,,,,706.5770056062902,224.0906735404149,482.4863320658753,-0.003215294868442853,-1,-1,-1,-1.0,Defensive
2018-01-12 00:00:00+09:00,114727.765625,116217.73660714286,114355.27287946428,424738,,,,,,807.9032053057599,340.8531798934839,467.050025412276,-0.006451603300345776,-1,-1,-1,-1.0,Defensive
2018-01-15 00:00:00+09:00,115472.75,115472.75,112492.80806451612,315592,,,,,,937.5119078588468,460.1849254865565,477.32698237229033,0.0064934967655088105,-1,-1,-1,-1.0,Defensive
2018-01-16 00:00:00+09:00,117707.6875,117707.68750000001,113982.76068037975,440542,,,,,,1206.6589037866506,609.4797211465753,597.1791826400753,0.019354674587727327,-1,-1,-1,-1.0,Defensive
2018-01-17 00:00:00+09:00,117335.2109375,118452.68913690477,116217.73273809525,363034,,,,,,1374.0647286157182,762.3967226404039,611.6680059753143,-0.003164420017171765,-1,-1,-1,-1.0,Defensive
2018-01-18 00:00:00+09:00,115472.75,117707.7064516129,114727.76451612903,324686,,,,,,1340.9918985972763,878.1157578317784,462.8761407654979,-0.015872992621899895,-1,-1,-1,-1.0,Defensive
2018-01-19 00:00:00+09:00,120687.6484375,120687.6484375,115100.25730613426,637243,,,,,,1715.8014723879896,1045.6529007430208,670.1485716449688,0.04516129075907527,-1,-1,-1,-1.0,Defensive
2018-01-22 00:00:00+09:00,121060.1484375,122177.62673076923,118080.2063221154,582519,,,,,71.66683270849173,2019.617503450354,1240.4458212844875,779.1716821658665,0.0030864798910461566,-1,-1,-1,-1.0,Defensive
2018-01-23 00:00:00+09:00,119942.640625,124785.04537072981,119942.640625,727921,,,,,67.21320775736038,2145.4884999698843,1421.454357021567,724.0341429483174,-0.009231013070142846,-1,-1,1,-0.5,Defensive
2018-01-24 00:00:00+09:00,116590.2109375,120687.63049121405,116217.71825079872,653451,,,,,66.12900934205113,1952.2250777276931,1527.6085011627922,424.6165765649009,-0.027950274147968357,-1,-1,1,-0.5,Defensive
2018-01-25 00:00:00+09:00,118080.2109375,118452.70371648265,114727.77592665615,776214,,,,,65.57381783873942,1897.420686196303,1601.5709381694944,295.8497480268086,0.012779803621753016,-1,-1,1,-0.5,Defensive
2018-01-26 00:00:00+09:00,113610.296875,115845.25353483607,111002.8474385246,1058626,,,,,52.173926259341606,1476.2854036723438,1576.5138312700642,-100.22842759772038,-0.03785489564264011,-1,-1,-1,-1.0,Defensive
2018-01-29 00:00:00+09:00,115100.234375,115845.21971076053,113237.77103559871,504827,115342.373046875,,,,52.85708464468313,1248.367756068983,1510.884616229848,-262.516860160865,0.013114458292801556,-1,-1,-1,-1.0,Defensive
2018-01-30 00:00:00+09:00,116217.71875,117707.68950320514,115100.24068509616,458611,115584.492578125,,0.019347629739750665,,50.74626818949474,1144.717438076943,1437.651180599267,-292.9337425223241,0.009708793218953904,-1,-1,-1,-1.0,Defensive
2018-01-31 00:00:00+09:00,120687.6484375,120687.6484375,115100.25730613426,926031,116012.8609375,,0.020915440722107166,,58.97435552702913,1407.0402986179397,1431.5290042030017,-24.488705585062007,0.03846168842046738,-1,-1,-1,-1.0,Defensive
2018-02-01 00:00:00+09:00,119570.15625,120687.63434579439,118080.18545560747,478000,116534.349609375,,0.019903950615353168,,58.22781516732374,1507.3845841002767,1446.7001201824567,60.68446391782004,-0.009259374939919462,-1,-1,1,-0.5,Defensive
2018-02-02 00:00:00+09:00,121060.1484375,122177.62673076923,119570.17737980769,813167,117037.215625,,0.019781186263208964,,59.25925638223195,1687.6835055283009,1494.8967972516257,192.7867082766752,0.012461238106812322,-1,-1,1,-0.5,Defensive
2018-02-05 00:00:00+09:00,118452.6796875,121432.6213148585,118452.6796875,670474,117335.208984375,,0.02048593619741264,,51.219519681202755,1601.7072786639037,1516.2588935340814,85.44838512982233,-0.021538621781437506,-1,-1,1,-0.5,Defensive
2018-02-06 00:00:00+09:00,117335.2109375,119942.66006944445,114355.26907242063,690538,117521.4546875,,0.020579945317387674,,50.0,1426.9511062924867,1498.3973360857626,-71.44622979327596,-0.0094338832430646,-1,-1,-1,-1.0,Defensive
2018-02-07 00:00:00+09:00,117335.2109375,119570.16733630953,116217.73273809525,552642,117595.95390625,,0.020146195710198492,,53.164541839332955,1273.7723261577194,1453.472334100154,-179.7000079424347,0.0,-1,-1,-1,-1.0,Defensive
2018-02-08 00:00:00+09:00,119942.640625,121805.10398874224,116590.20657026398,883512,117819.4484375,,0.020673214739190766,,48.611073485035845,1347.2446264662867,1432.2267925733806,-84.98216610709392,0.022222056505177168,-1,-1,-1,-1.0,Defensive
2018-02-09 00:00:00+09:00,115472.75,118080.19919354838,115100.25725806452,721962,117856.69765625,,0.022467281467612024,,40.96385755283371,1032.8827078878967,1352.3579756362838,-319.47526774838707,-0.03726690192668913,-1,-1,-1,-1.0,Defensive
2018-02-12 00:00:00+09:00,114727.765625,116590.22935267857,114355.27287946428,554120,117819.4484375,,0.022467281467612028,,41.463457679210045,715.3880613334768,1224.9639927757223,-509.5759314422455,-0.006451603300345776,-1,-1,-1,-1.0,Defensive
2018-02-13 00:00:00+09:00,113610.296875,115845.25353483607,113237.80409836066,528608,117614.57890625,,0.022074574193841488,,44.736893667670174,369.34331760754867,1053.8398577420876,-684.4965401345389,-0.009740177052280141,-1,-1,-1,-1.0,Defensive
2018-02-14 00:00:00+09:00,115100.234375,115472.72704288026,113237.77103559871,265716,117502.830078125,,0.022316428829834287,,44.73677166069241,212.87201334811107,885.6462888632924,-672.7742755151813,0.013114458292801556,-1,-1,-1,-1.0,Defensive
2018-02-19 00:00:00+09:00,115472.75,116962.72096774193,115100.25725806452,265257,117502.830078125,,0.022047031225388567,,53.846136471584344,117.57098991581006,732.031229073796,-614.4602391579859,0.003236445407976518,-1,-1,-1,-1.0,Defensive
2018-02-20 00:00:00+09:00,114355.28125,116217.74511400652,113610.2957043974,218792,117186.21171875,,0.019511928306975304,,48.43756759059598,-47.57770069259277,576.1094431205183,-623.6871438131111,-0.009677337293863664,-1,-1,-1,-1.0,Defensive
2018-02-21 00:00:00+09:00,119197.640625,119942.62587890626,113610.25122070312,537567,117093.086328125,,0.02185756531108947,,55.40538012677128,209.85957390986732,502.85946927838813,-292.9998953685208,0.0423448687464969,-1,-1,-1,-1.0,Defensive
2018-02-22 00:00:00+09:00,116962.703125,118825.16655055733,116217.71775477708,339005,116944.089453125,,0.02215963708436111,,42.646996682772155,230.87826969343587,448.4632293613977,-217.5849596679618,-0.018749846794628988,-1,-1,-1,-1.0,Defensive
2018-02-23 00:00:00+09:00,118452.6796875,118825.17239091982,117335.20157724057,275917,117037.212890625,,0.021405409041152967,,47.82608167015872,363.5733466498932,431.4852528190968,-67.91190616920358,0.012738903280198999,-1,-1,-1,-1.0,Defensive
2018-02-26 00:00:00+09:00,119942.640625,120687.6259704969,117335.19191576088,513314,117130.334375,,0.021399635876986255,,47.82601823371903,582.2507227935421,461.6383468139859,120.61237597955619,0.012578532975621837,-1,-1,1,-0.5,Defensive
2018-02-27 00:00:00+09:00,119942.640625,120687.6259704969,119197.65527950312,273491,117446.9515625,,0.01929944740178176,,53.22580590599114,746.9438155238313,518.699440555955,228.2443749678763,0.0,-1,-1,1,-0.5,Defensive
2018-02-28 00:00:00+09:00,120315.125,121432.60294117646,117707.67647058822,496851,117707.69609375,,0.019147188574437472,,56.66664918857982,897.1785384262039,594.3952601300048,302.7832782961991,0.0031055208811399115,-1,-1,1,-0.5,Defensive
2018-03-02 00:00:00+09:00,116217.71875,118452.6748798077,115100.24068509616,591106,117707.69609375,,0.020737781817827077,,47.88728441775699,677.8009305756277,611.0763942191294,66.72453635649833,-0.0340556206046414,-1,-1,1,-0.5,Defensive
2018-03-05 00:00:00+09:00,113982.7578125,116962.69919321896,113610.26513991013,410894,117372.4515625,,0.019139957460235505,,38.57136907467438,319.9121780650603,552.8435509883157,-232.93137292325537,-0.019230810598749648,-1,-1,-1,-1.0,Defensive
2018-03-06 00:00:00+09:00,116962.703125,117707.68849522294,115100.23969944268,375611,117242.07890625,,0.020103655821441368,,53.03028088180898,273.58571965289593,496.99198472123174,-223.4062650683358,0.026143825344197902,-1,-1,-1,-1.0,Defensive
2018-03-07 00:00:00+09:00,113610.296875,115472.76075819672,113237.80409836066,598406,116869.586328125,,0.02076678063977745,,47.945212170246464,-33.25614342959307,390.9423590910668,-424.1985025206599,-0.028662181707763912,-1,-1,-1,-1.0,Defensive
2018-03-08 00:00:00+09:00,115100.234375,115472.72704288026,113237.77103559871,488545,116701.9640625,,0.020583671120849092,,52.70265827341188,-154.42491201640223,281.86890486957304,-436.2938168859753,0.013114458292801556,-1,-1,-1,-1.0,Defensive
2018-03-09 00:00:00+09:00,114727.765625,115472.75111607142,113610.28738839286,460548,116571.591796875,,0.02050248517843027,,49.29581583802878,-277.3104866981739,170.03302655602366,-447.34351325419755,-0.0032360381542446692,-1,-1,-1,-1.0,Defensive
2018-03-12 00:00:00+09:00,114355.28125,115845.25234120521,113982.7884771987,422236,116422.5953125,,0.020505999750512434,,47.887326856099655,-400.1419784095633,55.99802556290625,-456.1400039724696,-0.0032466802867712197,-1,-1,-1,-1.0,Defensive
